FID,SRC_AGENCY,FIRE_ID,YEAR,MONTH,DAY,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
165104,AB,DP1-022-91,1991,7,31,0.3,N,Ground, 
165105,AB,DP1-023-91,1991,7,29,0.3,N,Ground, 
165106,AB,DP1-028-91,1991,8,18,0.2,H,Ground, 
165107,AB,DP3-009-89,1989,6,21,2,N,Ground, 
165108,AB,DP3-011-89,1989,6,30,0.1,N,Surface, 
165109,AB,DP3-012-89,1989,6,30,0.1,N,Surface, 
165110,AB,DP3-018-89,1989,7,8,3,N,Surface, 
165111,AB,DP3-024-90,1990,8,12,0.1,N,Surface, 
165112,AB,DF1-030-89,1989,8,12,0.1,N,Surface, 
165113,AB,DF1-050-89,1989,8,15,0.1,N,Surface, 
165114,AB,DF1-016-90,1990,6,23,162,N,Crown, 
165115,AB,DF1-027-90,1990,7,8,0.1,N,Surface, 
165116,AB,DF1-063-90,1990,7,31,2,N,Surface, 
165117,AB,DF1-075-90,1990,7,31,1,N,Crown, 
165118,AB,DA2-001-88,1988,6,9,0.1,H,Surface, 
165119,AB,DA2-003-88,1988,6,23,0.1,N,Surface, 
165120,AB,DA2-004-88,1988,7,21,0.1,N,Surface, 
165121,AB,DA2-006-88,1988,7,21,351.8,N,Crown, 
165122,AB,DA2-007-88,1988,7,21,0.1,N,Surface, 
165123,AB,DA1-035-89,1989,8,12,0.5,N,Surface, 
165124,AB,DA1-050-89,1989,8,17,0.1,N,Ground, 
165125,AB,DA2-003-90,1990,6,21,0.1,N,Surface, 
