FID,SRC_AGENCY,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
1833,BC,51.0833,-118.3309,2023,7,11,2023-07-11,0.01,N,Fire,MOD
1834,BC,49.3763,-115.8587,2023,5,15,2023-05-15,0.01,N,Fire,FUL
1835,BC,52.6877,-119.077699999999,2023,5,31,2023-05-31,0.1,N,Fire,FUL
1836,BC,55.463,-124.1502,2023,7,16,2023-07-16,0.009,N,Fire,FUL
1837,BC,50.4266,-121.2472,2023,7,13,2023-07-13,0.009,N,Fire,FUL
1838,BC,49.6281,-117.1801,2023,8,7,2023-08-07,46.0,N,Fire,FUL
1839,BC,51.7346999999999,-125.8142,2023,8,22,2023-08-22,433.0,N,Fire,MON
1840,BC,49.4146,-115.8428,2023,6,28,2023-06-28,0.22,N,Fire,FUL
1841,BC,50.4052999999999,-117.7668,2023,7,30,2023-07-30,200.0,N,Fire,MOD
1842,BC,53.8592,-127.4811,2023,7,19,2023-07-19,0.009,N,Fire,FUL
1843,BC,55.0409,-125.8943,2023,7,9,2023-07-09,168.0,N,Fire,MON
1844,BC,58.6009999999999,-121.1344,2023,8,30,2023-08-30,0.0,N,Fire,MON
1845,BC,52.1843,-121.1795,2023,7,19,2023-07-19,0.009,N,Fire,FUL
1846,BC,50.462,-117.597399999999,2023,7,21,2023-07-21,876.0,N,Fire,MOD
1847,BC,53.6255,-123.4729,2023,7,8,2023-07-08,17.0799999999999,N,Fire,FUL
1848,BC,49.6749999999999,-117.0684,2023,8,7,2023-08-07,0.01,N,Fire,FUL
