FID,SRC_AGENCY,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
146006,BC,59.2288,-121.3957,2014,7,29,2014-07-29,1.7,N,Fire, 
146007,BC,58.9885,-121.2963,2014,8,16,2014-08-16,2.7,N,Fire, 
146008,BC,59.2229,-120.3609,2014,10,2,2014-10-02,0.009,H,Fire, 
146009,BC,59.0298,-121.140199999999,2013,5,28,2013-05-28,12.5,N,Fire, 
146010,BC,59.0476,-121.5162,2013,5,29,2013-05-29,0.6,N,Fire, 
146011,BC,59.3162999999999,-121.9261,2013,6,22,2013-06-22,209.699999999999,N,Fire, 
146012,BC,59.9662,-123.7611,2013,6,23,2013-06-23,1.3,N,Fire, 
146013,BC,59.6176999999999,-123.0828,2013,6,14,2013-06-14,0.1,N,Fire, 
146014,BC,59.4039,-121.7736,2013,6,24,2013-06-24,11.3,N,Fire, 
146015,BC,59.7077999999999,-123.008,2013,6,15,2013-06-15,0.2,N,Fire, 
146016,BC,59.8376999999999,-123.8186,2013,6,25,2013-06-25,1.0,N,Fire, 
146017,BC,59.4682999999999,-122.3505,2013,7,7,2013-07-07,0.25,N,Fire, 
146018,BC,59.0872,-121.499399999999,2013,7,6,2013-07-06,0.6,N,Fire, 
146019,BC,59.4341999999999,-121.0318,2013,7,7,2013-07-07,3.4,N,Fire, 
146020,BC,59.1075999999999,-121.1797,2013,7,7,2013-07-07,17.0,N,Fire, 
146021,BC,59.2486,-121.3348,2013,7,8,2013-07-08,0.02,N,Fire, 
146022,BC,59.078,-121.3735,2016,5,16,2016-05-16,0.7,N,Fire, 
146023,BC,59.828,-123.7323,2016,6,12,2016-06-12,0.5,N,Fire, 
146024,BC,59.8823999999999,-123.782,2016,6,18,2016-06-18,0.2,N,Fire, 
146025,BC,59.183,-120.2323,2016,6,29,2016-06-29,4.5,N,Fire, 
146026,BC,59.5131,-122.2461,2016,6,29,2016-06-29,0.15,N,Fire, 
146027,BC,59.1743999999999,-121.4628,2016,6,22,2016-06-22,0.2,N,Fire, 
146028,BC,59.042,-121.546499999999,2016,7,13,2016-07-13,0.35,N,Fire, 
146029,BC,59.4247,-120.7795,2016,7,13,2016-07-13,0.009,N,Fire, 
146030,BC,59.3264,-121.1722,2016,7,13,2016-07-13,0.009,N,Fire, 
146031,BC,59.8205999999999,-123.5163,2016,7,10,2016-07-10,0.009,N,Fire, 
146032,BC,59.1099,-121.1846,2016,7,13,2016-07-13,0.3,N,Fire, 
146033,BC,59.1351999999999,-121.2406,2016,7,15,2016-07-15,1.6,N,Fire, 
146034,BC,59.4622,-120.7245,2016,7,13,2016-07-13,0.15,N,Fire, 
146035,BC,59.4632999999999,-123.5908,2016,6,29,2016-06-29,0.5,N,Fire, 
146036,BC,58.8733,-121.4832,2016,8,1,2016-08-01,19.8999999999999,N,Fire, 
146037,BC,59.0388,-121.5083,2016,8,9,2016-08-09,13.8,N,Fire, 
146038,BC,59.5940999999999,-123.2616,2016,8,4,2016-08-04,0.15,N,Fire, 
146039,BC,59.1554,-121.0701,2016,8,9,2016-08-09,13.6999999999999,N,Fire, 
146040,BC,59.033,-121.614099999999,2016,7,13,2016-07-13,0.009,N,Fire, 
146041,BC,58.9435,-121.4789,2016,8,1,2016-08-01,0.1,N,Fire, 
146042,BC,59.4534999999999,-121.0012,2017,8,30,2017-08-30,301.1,N,Fire, 
146043,BC,59.0247,-120.9471,2017,8,30,2017-08-30,173.199999999999,N,Fire, 
146044,BC,59.7732999999999,-123.8605,2017,9,9,2017-09-09,0.8,N,Fire, 
146045,BC,58.84,-121.3849,2017,10,14,2017-10-14,0.2,H,Fire, 
146046,BC,59.6103,-120.9175,2014,7,1,2014-07-01,1.6,N,Fire, 
146047,BC,59.7087999999999,-121.788,2014,7,13,2014-07-13,0.2,N,Fire, 
146048,BC,59.7916999999999,-121.8503,2014,6,3,2014-06-03,55.8999999999999,N,Fire, 
146049,BC,59.7513,-120.2813,2014,7,29,2014-07-29,16.8999999999999,N,Fire, 
146050,BC,59.7922999999999,-120.2693,2014,7,29,2014-07-29,1.1,N,Fire, 
146051,BC,59.85,-120.2547,2014,7,29,2014-07-29,3.5,N,Fire, 
146052,BC,59.6347999999999,-120.0033,2014,7,29,2014-07-29,1.9,N,Fire, 
146053,BC,59.5039999999999,-120.389799999999,2014,7,29,2014-07-29,312.3,N,Fire, 
146054,BC,59.5503,-121.0108,2014,10,5,2014-10-05,0.05,H,Fire, 
146055,BC,59.6768,-122.2089,2013,6,13,2013-06-13,6.4,N,Fire, 
146056,BC,59.5084999999999,-120.4983,2016,6,29,2016-06-29,0.5,N,Fire, 
146057,BC,59.5861,-120.6867,2016,7,13,2016-07-13,1.7,N,Fire, 
146058,BC,59.6308,-120.9177,2016,7,13,2016-07-13,21.1999999999999,N,Fire, 
146059,BC,59.6233,-120.8128,2016,7,13,2016-07-13,1.33,N,Fire, 
146060,BC,59.5204,-120.074,2016,7,13,2016-07-13,60.0,N,Fire, 
146061,BC,59.6238,-120.9864,2016,7,13,2016-07-13,0.1,N,Fire, 
146062,BC,59.7201,-120.8656,2017,8,3,2017-08-03,4655.1,N,Fire, 
146063,BC,59.5688999999999,-120.8556,2017,8,3,2017-08-03,0.6,N,Fire, 
146064,BC,59.5645999999999,-120.8755,2017,8,30,2017-08-30,37.7,N,Fire, 
146065,BC,59.7423,-121.3035,2017,8,30,2017-08-30,135.0,N,Fire, 
146066,BC,57.6983,-121.1341,2014,6,28,2014-06-28,0.1,N,Fire, 
146067,BC,57.1666999999999,-121.837999999999,2014,8,5,2014-08-05,0.009,N,Fire, 
146068,BC,57.5178999999999,-121.885499999999,2014,8,13,2014-08-13,4057.0,N,Fire, 
146069,BC,57.6978,-122.3494,2014,8,6,2014-08-06,0.009,N,Fire, 
146070,BC,57.7376999999999,-121.6461,2014,7,30,2014-07-30,0.1,N,Fire, 
146071,BC,59.7105,-124.0763,2014,7,15,2014-07-15,0.3,N,Fire, 
146072,BC,59.7075,-124.069599999999,2014,7,14,2014-07-14,0.009,N,Fire, 
